Neighbor list in replicated POSCAR file
Nearest neighbor distance: 1.926
Neighbor distances: (angstrom), number of neighbors
339th nearest neighbor distance: 14.749, number of neighbors: 4
340th nearest neighbor distance: 14.773, number of neighbors: 12
341th nearest neighbor distance: 14.792, number of neighbors: 8
342th nearest neighbor distance: 14.796, number of neighbors: 80
343th nearest neighbor distance: 14.803, number of neighbors: 20
344th nearest neighbor distance: 14.812, number of neighbors: 24
345th nearest neighbor distance: 14.834, number of neighbors: 88
346th nearest neighbor distance: 14.846, number of neighbors: 12
347th nearest neighbor distance: 14.849, number of neighbors: 18
348th nearest neighbor distance: 14.858, number of neighbors: 12
349th nearest neighbor distance: 14.863, number of neighbors: 14
350th nearest neighbor distance: 14.884, number of neighbors: 6
351th nearest neighbor distance: 14.913, number of neighbors: 24
352th nearest neighbor distance: 14.958, number of neighbors: 10
353th nearest neighbor distance: 15.008, number of neighbors: 24
354th nearest neighbor distance: 15.036, number of neighbors: 8
355th nearest neighbor distance: 15.047, number of neighbors: 14
356th nearest neighbor distance: 15.057, number of neighbors: 64
357th nearest neighbor distance: 15.074, number of neighbors: 8
358th nearest neighbor distance: 15.103, number of neighbors: 40
359th nearest neighbor distance: 15.104, number of neighbors: 6
360th nearest neighbor distance: 15.132, number of neighbors: 10
361th nearest neighbor distance: 15.140, number of neighbors: 44
362th nearest neighbor distance: 15.141, number of neighbors: 14
363th nearest neighbor distance: 15.182, number of neighbors: 24
364th nearest neighbor distance: 15.186, number of neighbors: 62
365th nearest neighbor distance: 15.211, number of neighbors: 36
366th nearest neighbor distance: 15.219, number of neighbors: 20
367th nearest neighbor distance: 15.221, number of neighbors: 6
368th nearest neighbor distance: 15.247, number of neighbors: 12
369th nearest neighbor distance: 15.265, number of neighbors: 96
370th nearest neighbor distance: 15.269, number of neighbors: 12
371th nearest neighbor distance: 15.286, number of neighbors: 6
372th nearest neighbor distance: 15.318, number of neighbors: 8
373th nearest neighbor distance: 15.352, number of neighbors: 26
374th nearest neighbor distance: 15.366, number of neighbors: 42
375th nearest neighbor distance: 15.378, number of neighbors: 36
376th nearest neighbor distance: 15.394, number of neighbors: 10
377th nearest neighbor distance: 15.399, number of neighbors: 18
378th nearest neighbor distance: 15.440, number of neighbors: 12
379th nearest neighbor distance: 15.446, number of neighbors: 52
380th nearest neighbor distance: 15.464, number of neighbors: 12
381th nearest neighbor distance: 15.481, number of neighbors: 6
382th nearest neighbor distance: 15.491, number of neighbors: 2
383th nearest neighbor distance: 15.505, number of neighbors: 10
384th nearest neighbor distance: 15.533, number of neighbors: 14
385th nearest neighbor distance: 15.552, number of neighbors: 24
386th nearest neighbor distance: 15.577, number of neighbors: 4
387th nearest neighbor distance: 15.588, number of neighbors: 36
388th nearest neighbor distance: 15.599, number of neighbors: 20
389th nearest neighbor distance: 15.600, number of neighbors: 24
390th nearest neighbor distance: 15.628, number of neighbors: 16
391th nearest neighbor distance: 15.644, number of neighbors: 12
392th nearest neighbor distance: 15.656, number of neighbors: 36
393th nearest neighbor distance: 15.667, number of neighbors: 76
394th nearest neighbor distance: 15.680, number of neighbors: 12
395th nearest neighbor distance: 15.700, number of neighbors: 16
396th nearest neighbor distance: 15.709, number of neighbors: 6
397th nearest neighbor distance: 15.747, number of neighbors: 4
398th nearest neighbor distance: 15.760, number of neighbors: 8
399th nearest neighbor distance: 15.796, number of neighbors: 4
400th nearest neighbor distance: 15.933, number of neighbors: 8
401th nearest neighbor distance: 15.943, number of neighbors: 12
402th nearest neighbor distance: 15.961, number of neighbors: 64
403th nearest neighbor distance: 15.964, number of neighbors: 4
404th nearest neighbor distance: 16.022, number of neighbors: 20
405th nearest neighbor distance: 16.044, number of neighbors: 12
406th nearest neighbor distance: 16.062, number of neighbors: 14
407th nearest neighbor distance: 16.068, number of neighbors: 10
408th nearest neighbor distance: 16.097, number of neighbors: 8
409th nearest neighbor distance: 16.100, number of neighbors: 44
410th nearest neighbor distance: 16.108, number of neighbors: 16
411th nearest neighbor distance: 16.129, number of neighbors: 16
412th nearest neighbor distance: 16.131, number of neighbors: 12
413th nearest neighbor distance: 16.158, number of neighbors: 36
